Issue Date,Tender,Security Type,Discount Rate,Interest Rate
21 Aug 2017,1551,1 YR FXR NOTE,15.0000,15.0000
14 Aug 2017,1550,2 YR FXR NOTE,17.0000,17.0000
07 Aug 2017,1549,1 YR FXR NOTE,15.0000,15.0000
31 Jul 2017,1548,5 YR FXR BOND,18.2500,0.0000
17 Jul 2017,1546,1 YR FXR NOTE,15.0000,15.0000
10 Jul 2017,1545,2 YR FXR NOTE,17.0000,17.0000
03 Jul 2017,1544,1 YR FXR NOTE,15.0000,15.0000
19 Jun 2017,1542,1 YR FXR NOTE,15.0000,15.0000
12 Jun 2017,1541,2 YR FXR NOTE,17.0000,17.0000
05 Jun 2017,1540,3 YR FXR BOND,18.5000,18.5000
05 Jun 2017,1540,1 YR FXR NOTE,15.5000,15.5000
05 Jun 2017,1540,91 DAY BILL,12.0180,12.3903
05 Jun 2017,1540,182 DAY BILL,12.8833,13.7703
15 May 2017,1537,1 YR FXR NOTE,16.0000,16.0000
08 May 2017,1536,2 YR FXR NOTE,19.9500,19.9500
01 May 2017,1535,1 YR FXR NOTE,17.5000,17.5000
10 Apr 2017,1532,2 YR FXR NOTE,21.0000,21.0000
03 Apr 2017,1531,15 YR FXR BOND,19.7500,19.7500
03 Apr 2017,1531,7 YR FXR BOND,19.7500,19.7500
13 Mar 2017,1528,3 YR FXR BOND,21.5000,21.5000
13 Mar 2017,1528,2 YR FXR NOTE,21.3300,21.3300
13 Feb 2017,1524,2 YR FXR NOTE,21.5000,21.5000
30 Jan 2017,1522,5 YR FXR BOND,18.7500,18.7500
09 Jan 2017,1519,2 YR FXR NOTE,21.0000,21.0000
12 Dec 2016,1515,2 YR FXR NOTE,22.5000,22.5000
14 Nov 2016,1511,2 YR FXR NOTE,23.0000,23.0000
14 Nov 2016,1511,10 YR FXR BOND,19.0000,0.0000
17 Oct 2016,1507,2 YR FXR NOTE,6.0000,6.0000
17 Oct 2016,1507,2 YR FXR NOTE,6.0000,6.0000
10 Oct 2016,1506,2 YR FXR NOTE,24.0000,24.0000
12 Sep 2016,1502,3 YR FXR BOND,24.0000,24.0000
12 Sep 2016,1502,2 YR FXR NOTE,24.0000,24.0000
08 Aug 2016,1497,2 YR FXR NOTE,24.5000,24.5000
25 Jul 2016,1495,5 YR FXR BOND,24.7500,24.7500
11 Jul 2016,1493,2 YR FXR NOTE,24.0000,24.0000
27 Jun 2016,1491,5 YR FXR BOND,24.5000,24.5000
13 Jun 2016,1489,2 YR FXR NOTE,24.2500,24.2500
30 May 2016,1487,3 YR FXR BOND,24.5000,24.5000
09 May 2016,1484,2 YR FXR NOTE,24.0000,24.0000
25 Apr 2016,1482,3 YR FXR BOND,24.5000,24.5000
07 Mar 2016,1475,5 YR FXR BOND,24.7500,24.7500
11 Jan 2016,1467,3 YR FXR BOND,24.7500,24.7500
30 Nov 2015,1461,5 YR FXR BOND,24.0000,24.0000
26 Oct 2015,1456,3 YR FXR BOND,24.5000,24.5000
25 May 2015,1434,3 YR FXR BOND,23.4700,23.4700
30 Mar 2015,1426,5 YR FXR BOND,21.0000,21.0000
25 Nov 2013,1355,7 YR FXR BOND,18.0000,18.0000
30 Sep 2013,1347,5 YR FXR BOND,19.0400,19.0400
26 Aug 2013,1342,7 YR FXR BOND,17.5000,17.5000
