Issue Date,Tender,Security Type,Discount Rate,Interest Rate
02 Mar 2020,1683,182 DAY BILL,14.1019,15.1716
02 Mar 2020,1683,364 DAY BILL,15.0460,17.7108
24 Feb 2020,1682,91 DAY BILL,14.2290,14.7538
24 Feb 2020,1682,182 DAY BILL,14.1039,15.1740
17 Feb 2020,1681,91 DAY BILL,14.1760,14.6969
17 Feb 2020,1681,182 DAY BILL,14.1115,15.1828
17 Feb 2020,1681,364 DAY BILL,15.1171,17.8094
17 Feb 2020,1681,2 YR FXR NOTE,20.2000,20.2000
10 Feb 2020,1680,91 DAY BILL,14.1799,14.7010
10 Feb 2020,1680,182 DAY BILL,14.1127,15.1841
03 Feb 2020,1679,91 DAY BILL,14.1740,14.6947
03 Feb 2020,1679,182 DAY BILL,14.0784,15.1444
03 Feb 2020,1679,364 DAY BILL,15.1173,17.8096
27 Jan 2020,1678,91 DAY BILL,14.1694,14.6898
27 Jan 2020,1678,182 DAY BILL,14.0812,15.1477
27 Jan 2020,1678,364 DAY BILL,15.1689,17.8813
20 Jan 2020,1677,3 YR FXR BOND,20.7500,20.7500
20 Jan 2020,1677,91 DAY BILL,14.1810,14.7022
20 Jan 2020,1677,182 DAY BILL,14.0995,15.1689
13 Jan 2020,1676,91 DAY BILL,14.1729,14.6935
13 Jan 2020,1676,182 DAY BILL,14.1028,15.1727
06 Jan 2020,1675,91 DAY BILL,14.1508,14.6698
06 Jan 2020,1675,182 DAY BILL,14.1018,15.1715
06 Jan 2020,1675,364 DAY BILL,15.1355,17.8349
30 Dec 2019,1674,91 DAY BILL,14.1755,14.6963
30 Dec 2019,1674,182 DAY BILL,14.0812,15.1477
23 Dec 2019,1673,91 DAY BILL,14.1753,14.6961
23 Dec 2019,1673,182 DAY BILL,14.0895,15.1573
23 Dec 2019,1673,364 DAY BILL,15.1822,17.8998
16 Dec 2019,1672,91 DAY BILL,14.1760,14.6969
16 Dec 2019,1672,182 DAY BILL,14.0823,15.1490
16 Dec 2019,1672,364 DAY BILL,15.1798,17.8964
09 Dec 2019,1671,2 YR FXR NOTE,20.9500,20.9500
09 Dec 2019,1671,91 DAY BILL,14.1681,14.6884
09 Dec 2019,1671,182 DAY BILL,14.0821,15.1487
02 Dec 2019,1670,364 DAY BILL,15.1318,17.8298
02 Dec 2019,1670,182 DAY BILL,14.0767,15.1425
02 Dec 2019,1670,91 DAY BILL,14.1637,14.6836
25 Nov 2019,1669,91 DAY BILL,14.1774,14.6984
25 Nov 2019,1669,182 DAY BILL,14.0725,15.1376
18 Nov 2019,1668,91 DAY BILL,14.1673,14.6875
18 Nov 2019,1668,182 DAY BILL,14.0711,15.1360
18 Nov 2019,1668,364 DAY BILL,15.1889,17.9091
11 Nov 2019,1667,2 YR FXR NOTE,19.5000,19.5000
11 Nov 2019,1667,91 DAY BILL,14.1677,14.6879
11 Nov 2019,1667,182 DAY BILL,14.0654,15.1294
11 Nov 2019,1667,364 DAY BILL,15.1965,17.9197
04 Nov 2019,1666,91 DAY BILL,14.1670,14.6872
04 Nov 2019,1666,182 DAY BILL,14.0696,15.1343
28 Oct 2019,1665,91 DAY BILL,14.1650,14.6850
28 Oct 2019,1665,182 DAY BILL,14.0744,15.1398
21 Oct 2019,1664,91 DAY BILL,14.1703,14.6907
21 Oct 2019,1664,182 DAY BILL,14.0560,15.1185
21 Oct 2019,1664,364 DAY BILL,15.1852,17.9040
14 Oct 2019,1663,91 DAY BILL,14.1711,14.6916
14 Oct 2019,1663,182 DAY BILL,14.0721,15.1372
07 Oct 2019,1662,182 DAY BILL,14.0799,15.1462
07 Oct 2019,1662,364 DAY BILL,15.1901,17.9108
07 Oct 2019,1662,91 DAY BILL,14.1633,14.6832
30 Sep 2019,1661,91 DAY BILL,14.1695,14.6899
30 Sep 2019,1661,182 DAY BILL,14.0793,15.1455
30 Sep 2019,1661,364 DAY BILL,15.1882,17.9081
30 Sep 2019,1661,2 YR FXR NOTE,19.0000,19.0000
23 Sep 2019,1660,91 DAY BILL,14.1639,14.6839
23 Sep 2019,1660,182 DAY BILL,14.0767,15.1425
23 Sep 2019,1660,364 DAY BILL,15.1900,17.9106
16 Sep 2019,1659,91 DAY BILL,14.1759,14.6967
16 Sep 2019,1659,182 DAY BILL,14.0708,15.1357
09 Sep 2019,1658,364 DAY BILL,15.1894,17.9098
09 Sep 2019,1658,91 DAY BILL,14.1598,14.6794
09 Sep 2019,1658,182 DAY BILL,14.0600,15.1232
02 Sep 2019,1657,91 DAY BILL,14.1582,14.6777
02 Sep 2019,1657,182 DAY BILL,14.0727,15.1379
26 Aug 2019,1656,20 YR FXR BOND,20.2000,20.2000
26 Aug 2019,1656,91 DAY BILL,14.1614,14.6812
26 Aug 2019,1656,182 DAY BILL,14.0723,15.1374
19 Aug 2019,1655,91 DAY BILL,14.1947,14.7170
19 Aug 2019,1655,182 DAY BILL,14.0786,15.1447
19 Aug 2019,1655,364 DAY BILL,15.1970,17.9204
12 Aug 2019,1654,91 DAY BILL,14.2092,14.7325
12 Aug 2019,1654,182 DAY BILL,14.0986,15.1678
12 Aug 2019,1654,364 DAY BILL,15.1871,17.9066
05 Aug 2019,1653,91 DAY BILL,14.2092,14.7325
05 Aug 2019,1653,182 DAY BILL,14.1003,15.1698
29 Jul 2019,1652,91 DAY BILL,14.2004,14.7231
29 Jul 2019,1652,182 DAY BILL,14.1012,15.1708
29 Jul 2019,1652,364 DAY BILL,15.1791,17.8955
29 Jul 2019,1652,15 YR FXR BOND,20.0000,20.0000
22 Jul 2019,1651,91 DAY BILL,14.2032,14.7261
22 Jul 2019,1651,182 DAY BILL,14.1042,15.1743
15 Jul 2019,1650,5 YR FXR BOND,19.5000,19.5000
15 Jul 2019,1650,91 DAY BILL,14.2064,14.7295
15 Jul 2019,1650,182 DAY BILL,14.1025,15.1723
15 Jul 2019,1650,364 DAY BILL,15.1668,17.8784
08 Jul 2019,1649,91 DAY BILL,14.1980,14.7205
08 Jul 2019,1649,182 DAY BILL,14.1023,15.1721
01 Jul 2019,1648,91 DAY BILL,14.2197,14.7438
